name,rating,date,text
Yocko 477,5,7 jam lalu,Recomen untuk kluarga
syarifah putri,5,Diedit 1 hari lalu,Pantai pasir putiiiihh. Masih bersih dan relatif sedikit pengunjung. Pantainya sangat nyaman buat bocil sekadar main air dan main pasir. Bisa buat foto2 juga karna gak begitu banyak pengunjung
alasroban,3,5 hari lalu,Nampaknya cukup ciamik untuk sekali sekali di kunjungi.
hendry my,4,seminggu lalu,"Pantai yang indah,dengan view keren seperti di raja ampat, bagus,pasir putih yg bersih"
Yusuf Ekapunta Kaharuddin,5,Diedit seminggu lalu,Pantai yang mempesona. Ini adalah  Bali nya Pacitan. Banyak bule yg senang berselancar disini. Akses jalannya sekarang sudah bagus dan mulus. Tetapi untuk kendaraan masih terbatas ukuran sampai Elf atau mikro bus. Maju terus pantai Watukarung..
Okta Via,5,2 minggu lalu,keren
Rizka Fadillah,5,2 minggu lalu,"Ke sini sdh 3x...
Pantai watukarung. Pantai fav anakku.
Perjlanam dari klaten- warukarung 3-4jam perjalanan... …"
dina aryawanti,5,2 minggu lalu,"Seperti pantai apda umumnya banyak air, pasir 😁 seru sih tidak hanya main air saja, tapi bisa naik ke atas bukit, tidak tinggi, cocok untuk melihat pemandangan pantai dari atas. …"
You know who i'am,5,3 minggu lalu,Mantap
sakura afsheen,5,Diedit 3 minggu lalu,"Pantai nya bagus airnya bersih enak buat maen,pokoknya kg nyesel main pantai pantai yg ada d Pacitan, seharian kg kelar dah itu pantai d kelilingin"
widya soediro,5,3 minggu lalu,Bagus pantai nya dan dekat dengan homestay
ashari garuda,4,3 minggu lalu,Rekomendasi
dani wahyu,5,3 minggu lalu,"Pantainya bagus, banyak penginapan di sekitar pantai"
dhila irsanti,5,3 minggu lalu,"Haaii sedikit bercerita yaa ..
Weekend lalu aku main2 k pantai watu karung ..
Seruu banget, cocok banget buat salah satu destinasi buat kalian yg mau liburan …"
Yayuk Pramesti,5,3 minggu lalu,"Di Pantai watu karung susannya asri
Jalanannya sudah bagus untuk menuju pantai watu karung ini di sana juga tersedia kuliner seafood segar …"
emaniez ema,5,3 minggu lalu,"Pantai nya bagus,bersih. Untuk haraga makanan masi terjangkau"
nabillahalfyyh,5,3 minggu lalu,tempat bagus alamnya juga alami namun jika air pasang sangat mengerikan walau mengerikan tetap cantik next akan kembali❤️‍🩹✨ …
Ayda listianti,5,Diedit 3 minggu lalu,"destinasi wisata pantai yang terkenal di Pacitan, Jawa Timur, dikenal karena keindahan alamnya yang menakjubkan dan menjadi spot selancar kelas dunia karena memiliki ombak yang menantang, yang tingginya bisa mencapai 4 meter.Pantai ini …"
Muklis Sin,5,3 minggu lalu,Pantai bersih jernih 🤩🤩 …
Ilham Wahyudi,5,3 minggu lalu,"Masih asri, ikan bakar murah, ada beberapa tiris asing"
Ricky Zulfandi,5,3 minggu lalu,"Liburan sekeluarga ke Pantai Watu Karung, Pacitan kemarin beneran di luar ekspektasi dan memuaskan banget! Ini pertama kalinya kami ke sini dan langsung jatuh cinta sama suasana pantainya yang tenang dengan pasir putih dan air laut yang …"
Emilia Indriafeni,5,3 minggu lalu,"🌊Watukarang Beach in Pacitan is a hidden paradise. It's incredibly pretty, with white sand, blue water, and cool rock formations everywhere. The best part is that it's not crowded, so you can relax in peace and take amazing, picture-perfect …"
Khairul Umam,5,sebulan lalu,Cocok banget buat liburan keluarga dan bisa untuk camping juga
