name,rating,date,text
Pengguna Google,5,1 hari lalu,"kesini krna nyari tempat wisata yg deket pantai klayar,asli klo siang ini panas bgt,mau naik perahu harus antri,next time mau kesini cobain naik perahu"
Pengguna Google,5,1 hari lalu,"Seru traveling kelokasi ini, cuman sayangnya saya kesini pas hujan sdh 2hr dan dr semalaman nga berenti2 sehingga warna air sungainya jadi coklat dan keruh, tp Alhamdulillah ada spot sungai yg masih berwarna hijaunya dan tempatnya agak …"
Pengguna Google,5,3 hari lalu,Landscape alami lengkap dengan pemandangan indah di Pacitan
Pengguna Google,5,3 hari lalu,"baguss bangett, jalannya juga mudah diakses, airnya jernih, viewnyaa cantikkk bgttt, tahun baru kemaren kesana sama cowo aku, guide nya juga ramah, bonus pinter ngefotoin wkwk🥰 …"
Pengguna Google,5,seminggu lalu,Murah meriah bersama rombongan 4 bus dari Jogja .pokoknya happy smua..salam sukses
Pengguna Google,5,seminggu lalu,Wahana disini ya sungai...bisa tembus ke pantai tp harus byr htm lg kalau mau kepantainya
Pengguna Google,2,2 minggu lalu,"Kecewa tukang prahu tidak nyampe ujung balik,"
Pengguna Google,5,2 minggu lalu,Asyik buat jalan2 murah meriah
Pengguna Google,5,2 minggu lalu,pemandangan indah
Pengguna Google,5,2 minggu lalu,Naik perahu di sungai Maron memang mengasikan...panorama alam yang masih asri....cocok untuk menghibur hati
Pengguna Google,5,3 minggu lalu,Seru
lina al,4,3 minggu lalu,"Kesana waktu libur natal dan tahun baru kemarin...
Pas malam nya hujan deras.. jd sungai warna coklat.. arus air lumayan kencang... …"
Toni Ramadhan,4,3 minggu lalu,"Kirain ijo, ternyata coklat"
Ayda listianti,5,3 minggu lalu,"Sungai Maron adalah destinasi wisata alam populer yang terletak di Pacitan, Jawa Timur, sering dijuluki sebagai ""Amazon-nya Pacitan"" atau ""Green Canyon Pacitan"" karena pemandangannya yang eksotis. …"
PUJI DYAH,4,Diedit 3 minggu lalu,"Best dr Pacitan
Jln masuk lokasi kecil ht2 yg bw mobil
Jng terlalu sore cz tempat agk mucuk
Byak warung layakx pantai2"
Akyuna Nightisabha,3,3 minggu lalu,"Dari dulu gak ada perubahan msh sama aja dgn 7th yll, kl pas airnya keruh dan panas2 jg mending skip. Seperti biasa tempat wisata, harga warung gak cocok dgn yg ditulis apalagi kl banyak org, kecuali mau detail cek satu persatu 🤭 kl totalan …"
Agung Prasetyo,5,4 minggu lalu,"Awalnya iseng² lihat gmaps wisata yang dekat dari desa orangtua, ketemulah sungai maron. Wisata perahu memberikan Pengalaman yang menyenangkan buat keluarga terutama anak². Pemandangan yang indah, juga sisi keamanannya begitu diperhatikan."
Priskilla Oktaviana,5,4 minggu lalu,"Kata bapaknya ke sungai ini bagus pas musim kemarau, .
Jadi pas musim kemarau besok kesini lagi lagi, krn kami kemari liburan akhir tahun. …"
Mahogra Daniswara,5,4 minggu lalu,"Sungai yang lebar serta waktu tempuh(naik perahu) yang terbilang cukup/pas sesuai keinginan. Pemandangan yang asri dikelilingi pohon dan bukit. Ombak sungai yang tidak terlalu bergejolak, serta air yang jernih"
Abu Basmah,1,Diedit 4 minggu lalu,"Kejadian Selasa 16 April 2024.
Kecewa dengan sewa kapalnya, kehabisan bahan bakar di tengah air2 gitu dengan anak balita, dan pak sopirnya ga komunikasi sama sekali tentang masalahnya, dan …"
rena,5,4 minggu lalu,"100k buat satu kapal cukup 3-6 orang, jarak 4km, dateng pagi masih sepi, walau musim hujan air nya ngga keruh"
Aquazone aquarium (Luky Luke),5,4 minggu lalu,Lebih nyaman pagi atau sore..biar panas tdk menyengat...pemandangan ok banget..
Suryadi,5,4 minggu lalu,Pemandangan yang sangat bagus sayang pas kesana habis hujan jadi airnya keruh coklat
Farhan,1,4 minggu lalu,"Sendiri bayar mahal mahal tapi bapaknya kenceng banget ga ada 30 menit cuman 20 menit an mana gabisa ngefoto sama videoin lagi , …"
Fitria Ristiani,4,4 minggu lalu,"Wisata susur sungai dengan perahu, syahdu nyaman"
Kosongan Ajah,5,sebulan lalu,Bagus & mantab
Atikah Nur Putranto,5,sebulan lalu,"Wisata susur sungai yang asik, nyantai, sama adem. Harga sewa per perahu relatif terjangkau buat track yang lumayan panjang. Waktu dateng ke sana langsung naik, ga pake antri. Ada fasilitas pelampung juga buat keamanan. Pengalaman ke sana …"
Rudy Wawur,5,sebulan lalu,"Tiket masuk 5rb,naik perahu 100rb bisa 4 orang"
Anang Dwi purnomo,5,sebulan lalu,"Kesini kalau pas gak hujan warna air hijau mirip Amazone, kalau hujan sungai mirip kapuas 😁. Tetap oke pokoknya …"
Kasimun Kasimun,3,sebulan lalu,"Jalannya ekstrim
Kurang lebar"
Fantasheva Seven,5,sebulan lalu,"Waktu pertama kali menginjakkan kaki disini bersama rombongan satu kantor, dalam hati bertanya 'lah tempat apa ini kok malah main ke kali?'. Ternyata setelah menyusuri sungai, pemandangannya luar biasa. Kanan kirinya asri banget. Dan gong …"
Farid Mustofa,5,sebulan lalu,"Suasana nyaman untuk istirahat, asri dan luas"
Rina Astuti,5,sebulan lalu,Bagus
Annisa,5,sebulan lalu,"Indah banget, sistem tertata baik, rutenya cukup pendek"
Valentina Kristiani,5,sebulan lalu,"Pemandangannya bagus, fasilitas lumayan, tarif kapal juga muraaah dg jarak segitu jauhnya, petugasnya ramah dan komunikatif, smg POKDARWISnya semakin maju👍 …"
catur edi gunawan,5,sebulan lalu,"Pertama kali berperahu di sungai yang lebar. Jarak tempuh cukup jauh sampai muara, sehingga puas foto2."
