name,rating,date,text
Beryl Beryl Annanias,5,1 jam lalu,"Sudah 2x kesini, tempatnya enak, bersih juga"
MHCONCEPT__,5,15 jam lalu,Hasil bagus memuaskan
Abdurrahman,5,6 hari lalu,
Pengagum Sholawat,5,seminggu lalu,
Tres Kidol,5,seminggu lalu,
Famanda Prahara,3,2 minggu lalu,"Perlu penambahan wisata agar menarik pengunjung, karna lokasi cukup jauh dari pusat kota dan isinya hanya api abadi. Butuh perawatan banget. Butuh perhatian"
Alif Nur Hidayah,5,2 minggu lalu,
rifan fatkhurahman,5,2 minggu lalu,Bakar jagung mantab
ahmadrifa'i22 rifa'i22,1,3 minggu lalu,
Ade pratama Yuga saputra,5,3 minggu lalu,
Mermeid,5,3 minggu lalu,bagus adem juga tempat nya
Erna Wati,5,3 minggu lalu,Wisata alam
tommy twinslider,5,3 minggu lalu,Napak tilas secuil sejarah majapahit
Yusuf Mulus Riptianto,4,3 minggu lalu,
Goldy Skuter,5,4 minggu lalu,one of the eternal flames in the world
I made Hartawan,5,4 minggu lalu,
Novandyan 97,5,4 minggu lalu,
Muhammad Mahfud Shodik,5,4 minggu lalu,
Noeroel Hadie,5,Diedit 4 minggu lalu,Terlihat lengang di sore hari. Sore menjelang magrib terlihat tiga orang pemuja api sedang khusyuk memegang dupa di samping mata api / sumber api di Bojonegoro. …
Andini Ant,5,4 minggu lalu,"Tempat piknik yg asyik, hanya kurang terjaga kebersihannya"
Ardy 03,5,sebulan lalu,
Taqi Abqori,5,sebulan lalu,Sore menjelang magrib bisa melihat penyembah api duduk bersila di samping mata api / sumber api sambil memegang hio.
Melan,5,sebulan lalu,
Pardan Napis,5,sebulan lalu,
Umrotul Khoiroh Ummah,5,sebulan lalu,
Jauharun Niam,1,sebulan lalu,
Lutfi Hakim,5,sebulan lalu,bagus buat edukasi
Arel Gaming 5,5,sebulan lalu,
Syam Hafil,4,sebulan lalu,"lokasi bagus dan Asri,cocok untuk rekreasi bersama keluarga."
Kopa Abrians,5,sebulan lalu,"tempat yang tenang, asri, sejuk. menjadi tempat terfavorit untuk sekedar menenangkan pikiran. gaada bosennya kesini ❤️"
Zavier Alfathir,4,sebulan lalu,"Tempatnya bagus,musholla ada dan toilet umum banyak di sediakan. . .
Tapi pas datang kesana sepi. . .akses jalannya juga mulus. . .harga tiket 8rb/orang"
moko racheal,5,sebulan lalu,Bagus wisata religi dan edukasi
Leey Cuuk Young,5,sebulan lalu,
Digital Mod,5,sebulan lalu,
Toyenx Juanda,5,sebulan lalu,
Surya Agustin,5,sebulan lalu,
Roe Hariyanto,5,sebulan lalu,Menyenangkan bisa bakar jagung
