name,rating,date,text
Beryl Beryl Annanias,5,2 jam lalu,"Sudah 2x kesini, tempatnya enak, bersih juga"
MHCONCEPT__,5,16 jam lalu,Hasil bagus memuaskan
Famanda Prahara,3,2 minggu lalu,"Perlu penambahan wisata agar menarik pengunjung, karna lokasi cukup jauh dari pusat kota dan isinya hanya api abadi. Butuh perawatan banget. Butuh perhatian"
rifan fatkhurahman,5,2 minggu lalu,Bakar jagung mantab
Mermeid,5,3 minggu lalu,bagus adem juga tempat nya
Erna Wati,5,3 minggu lalu,Wisata alam
tommy twinslider,5,3 minggu lalu,Napak tilas secuil sejarah majapahit
Goldy Skuter,5,4 minggu lalu,one of the eternal flames in the world
Noeroel Hadie,5,Diedit 4 minggu lalu,Terlihat lengang di sore hari. Sore menjelang magrib terlihat tiga orang pemuja api sedang khusyuk memegang dupa di samping mata api / sumber api di Bojonegoro. …
Andini Ant,5,4 minggu lalu,"Tempat piknik yg asyik, hanya kurang terjaga kebersihannya"
Taqi Abqori,5,sebulan lalu,Sore menjelang magrib bisa melihat penyembah api duduk bersila di samping mata api / sumber api sambil memegang hio.
Lutfi Hakim,5,sebulan lalu,bagus buat edukasi
Syam Hafil,4,sebulan lalu,"lokasi bagus dan Asri,cocok untuk rekreasi bersama keluarga."
Kopa Abrians,5,sebulan lalu,"tempat yang tenang, asri, sejuk. menjadi tempat terfavorit untuk sekedar menenangkan pikiran. gaada bosennya kesini ❤️"
Zavier Alfathir,4,sebulan lalu,"Tempatnya bagus,musholla ada dan toilet umum banyak di sediakan. . .
Tapi pas datang kesana sepi. . .akses jalannya juga mulus. . .harga tiket 8rb/orang"
moko racheal,5,sebulan lalu,Bagus wisata religi dan edukasi
Roe Hariyanto,5,sebulan lalu,Menyenangkan bisa bakar jagung
Pur Pur,5,2 bulan lalu,"Wisata sejarah dan geologi..ikon kabupaten bojonegoro, walau di hutan tapi fasilitas cukup lengkap, api nya gak pernah padam, mushola, toilet, kantin banyak …"
Fajar Chotibul Umam,5,2 bulan lalu,"Kayangan Api, situs alam unik di pedalaman hutan jati Bojonegoro. Menawarkan pengalaman yang berkesan bagiku, dengan perpaduan keindahan alam hutan jati, fenomena geologi dan nuansa mistis yang memikat. Sangat direkomendasikan untuk …"
Johan K. Siswoyo,5,2 bulan lalu,Wisata signaturenya Bojonegoro. Lokasi ke arah barat daya dari kota. Akses jalan masih bergelombang. Kabar baiknya lokasi wisata terawat dengan baik. HTM 8k/orang dan parkir motor 2k
suryo saputro,4,2 bulan lalu,"Tempat nya bagus, tertata rapih, tiket masuk 8 rb, parkir luas.
Api kayangan lebih bagus dilihat pada malam hari"
Sahrul Albukhori,5,Diedit 2 bulan lalu,Lokasinya nyaman n asyik buat nyantai SM kluarga
zahra kurnia,5,3 bulan lalu,"Kesana buat kerja kelompok sekolah, bagus"
Wisnu Satrio,5,Diedit 3 bulan lalu,"Tempat wisata yang unik dan menarik. Di sini ada api abadi yang tidak pernah padam walau hujan sekalipun. Suasananya tenang dan terasa sakral, cocok untuk yang ingin belajar tentang sejarah dan budaya lokal. …"
Susmiati Manis,5,3 bulan lalu,Tempat yang nyaman untuk sekedar melepas lelahnya pikiran
Dita Ayu rahmawati,5,3 bulan lalu,jossss
alfida ayu,5,3 bulan lalu,Bagus ada air blukuthuk nya
Luthfiy Irfanasruddin,5,3 bulan lalu,"Kesekian kalinya kesini, setelah hampir 10 tahun lebih, wkwkwkwkwk.....
Banyak sekali perubahan disini, sudah jadi GEO park di Bojonegoro, fasilitas Alhamdulillah sudah lengkap, hanya beberapa tempat jualan yang sepertinya perlu di …"
jembos,5,4 bulan lalu,Enak buat jogging gaes
Gund Couture,4,4 bulan lalu,Tempatnya bersih tenang
Dendy Fitra Lesmana,5,4 bulan lalu,"Mantap
Bersih
Aman dari pungli"
keyzaa,5,4 bulan lalu,Bagus ada
Hari Adi,5,4 bulan lalu,"Api Kayangan,suasana menenangkan sejuk asri."
